,ticker,trades,win_rate,avg_return,avg_p_alpha
6,GAS,44,0.955,8.7,0.824
7,GVR,43,0.93,8.59,0.836
13,PLX,42,0.976,8.52,0.841
24,VIC,64,0.969,8.45,0.86
22,VHM,48,0.958,8.43,0.846
1,BCM,26,1,8.32,0.84
28,VRE,37,0.973,8.2,0.823
26,VNM,13,1,8.06,0.806
14,POW,28,1,8.05,0.804
18,STB,42,0.976,7.97,0.811
21,VCB,14,1,7.89,0.794
8,HDB,17,1,7.63,0.803
12,MWG,20,0.95,7.33,0.778
3,BVH,51,0.863,6.98,0.796
20,TPB,11,0.909,6.78,0.785
17,SSI,22,0.909,6.77,0.799
10,MBB,19,0.895,6.76,0.784
15,SAB,26,0.846,6.7,0.76
9,HPG,18,1,6.64,0.771
5,FPT,19,1,6.63,0.761
19,TCB,22,0.955,6.6,0.794
0,ACB,4,1,6.59,0.84
16,SHB,8,1,6.55,0.793
23,VIB,6,1,6.53,0.812
25,VJC,34,0.882,6.49,0.766
27,VPB,17,0.941,6.49,0.827
4,CTG,19,0.895,6.43,0.8
11,MSN,13,0.923,6.17,0.771
2,BID,25,0.84,6.1,0.783
